------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:00 (uptime: 0d, 00h 01m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.avg_pkt_size                          | Total                     | 330
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 655
flow.active                                   | Total                     | 263
flow.tcp                                      | Total                     | 266
flow.udp                                      | Total                     | 386
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 38772
detect.alert                                  | Total                     | 75122
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 385
app_layer.tx.dns_udp                          | Total                     | 33465
flow.end.state.new                            | Total                     | 392
flow.mgr.full_hash_pass                       | Total                     | 23
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9577
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1039
flow.mgr.flows_notimeout                      | Total                     | 662
flow.mgr.flows_timeout                        | Total                     | 377
flow.mgr.flows_evicted                        | Total                     | 377
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 377
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:48 (uptime: 0d, 00h 01m 51s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 119253
decoder.bytes                                 | Total                     | 39629710
decoder.ipv4                                  | Total                     | 119192
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 57
decoder.sll                                   | Total                     | 119253
decoder.tcp                                   | Total                     | 44772
tcp.syn                                       | Total                     | 226
tcp.synack                                    | Total                     | 197
tcp.rst                                       | Total                     | 177
decoder.udp                                   | Total                     | 74420
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 332
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 678
flow.active                                   | Total                     | 285
flow.tcp                                      | Total                     | 285
flow.udp                                      | Total                     | 390
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 43790
detect.alert                                  | Total                     | 87717
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 389
app_layer.tx.dns_udp                          | Total                     | 41050
flow.end.state.new                            | Total                     | 393
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9478
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1062
flow.mgr.flows_notimeout                      | Total                     | 684
flow.mgr.flows_timeout                        | Total                     | 378
flow.mgr.flows_evicted                        | Total                     | 378
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 378
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:56 (uptime: 0d, 00h 01m 59s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 119253
decoder.bytes                                 | Total                     | 39629710
decoder.ipv4                                  | Total                     | 119192
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 57
decoder.sll                                   | Total                     | 119253
decoder.tcp                                   | Total                     | 44772
tcp.syn                                       | Total                     | 226
tcp.synack                                    | Total                     | 197
tcp.rst                                       | Total                     | 177
decoder.udp                                   | Total                     | 74420
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 332
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 688
flow.active                                   | Total                     | 295
flow.tcp                                      | Total                     | 293
flow.udp                                      | Total                     | 392
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 44183
detect.alert                                  | Total                     | 101993
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 391
app_layer.tx.dns_udp                          | Total                     | 54935
flow.end.state.new                            | Total                     | 393
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9478
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1062
flow.mgr.flows_notimeout                      | Total                     | 684
flow.mgr.flows_timeout                        | Total                     | 378
flow.mgr.flows_evicted                        | Total                     | 378
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 378
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:17:05 (uptime: 0d, 00h 02m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 119253
decoder.bytes                                 | Total                     | 39629710
decoder.ipv4                                  | Total                     | 119192
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 57
decoder.sll                                   | Total                     | 119253
decoder.tcp                                   | Total                     | 44772
tcp.syn                                       | Total                     | 226
tcp.synack                                    | Total                     | 197
tcp.rst                                       | Total                     | 177
decoder.udp                                   | Total                     | 74420
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 332
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 693
flow.active                                   | Total                     | 300
flow.tcp                                      | Total                     | 298
flow.udp                                      | Total                     | 392
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 44333
detect.alert                                  | Total                     | 108681
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 391
app_layer.tx.dns_udp                          | Total                     | 61473
flow.end.state.new                            | Total                     | 393
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9478
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1062
flow.mgr.flows_notimeout                      | Total                     | 684
flow.mgr.flows_timeout                        | Total                     | 378
flow.mgr.flows_evicted                        | Total                     | 378
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 378
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:17:13 (uptime: 0d, 00h 02m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 119253
decoder.bytes                                 | Total                     | 39629710
decoder.ipv4                                  | Total                     | 119192
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 57
decoder.sll                                   | Total                     | 119253
decoder.tcp                                   | Total                     | 44772
tcp.syn                                       | Total                     | 226
tcp.synack                                    | Total                     | 197
tcp.rst                                       | Total                     | 177
decoder.udp                                   | Total                     | 74420
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 332
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 703
flow.active                                   | Total                     | 310
flow.tcp                                      | Total                     | 305
flow.udp                                      | Total                     | 395
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 15
tcp.invalid_checksum                          | Total                     | 44519
detect.alert                                  | Total                     | 116881
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 394
app_layer.tx.dns_udp                          | Total                     | 69491
flow.end.state.new                            | Total                     | 393
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9478
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1062
flow.mgr.flows_notimeout                      | Total                     | 684
flow.mgr.flows_timeout                        | Total                     | 378
flow.mgr.flows_evicted                        | Total                     | 378
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 378
flow.recycler.queue_max                       | Total                     | 15
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:17:16 (uptime: 0d, 00h 02m 19s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 119253
decoder.bytes                                 | Total                     | 39629710
decoder.ipv4                                  | Total                     | 119192
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 57
decoder.sll                                   | Total                     | 119253
decoder.tcp                                   | Total                     | 44772
tcp.syn                                       | Total                     | 226
tcp.synack                                    | Total                     | 197
tcp.rst                                       | Total                     | 177
decoder.udp                                   | Total                     | 74420
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 332
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 703
flow.tcp                                      | Total                     | 305
